id;pregunta;a;b;c;d;correcta;tema;doc;categoria_ope;fuente;fecha_incorporacion;aciertos;apariciones;porcentaje_aciertos
11;EL PARVOVIRUS B19 REQUIERE PRECAUCIONES:.;Estandar;Aereas;Gotas;Contacto;C;Enfermedades Infecciosas;examen 1;otros;original;2025-09-18;0;0;0
12;"CON ESTOS MARCADORES SEROLOGICOS DE HEPATITIS B: HBS AG NEGATIVO; ANTI-HBC POSITIVO Y ANTI-HBS POSITIVO CUAL ES LA RESPUESTA CORRECTA?";Hepatitis aguda;Hepatitis cronica;Inmunidad natural;Vacunado/a;C;Enfermedades Infecciosas;examen 1;otros;original;2025-09-18;0;0;0
13;Senale la respuesta INCORRECTA en relacion con la gripe:.;Es una enfermedad infecciosa aguda causada por el virus de la influenza.;Se transmite principalmente por via aerea a traves de las goticulas respiratorias.;La vacunacion anual es la medida de prevencion mas eficaz.;Los antibioticos son el tratamiento de eleccion para la gripe no complicada.;D;Enfermedades Infecciosas;examen 2;otros;original;2025-09-18;0;0;0
14;En relacion con la tuberculosis, senale la respuesta CORRECTA:.;Es una enfermedad causada por una bacteria llamada Mycobacterium tuberculosis.;Se transmite principalmente por contacto directo con personas infectadas.;El tratamiento de la tuberculosis latente no es necesario.;La vacuna BCG es altamente efectiva para prevenir la tuberculosis en adultos.;A;Enfermedades Infecciosas;examen 2;renave_declaracion;original;2025-09-18;0;0;0
15;Senale la respuesta INCORRECTA en relacion con la obesidad infantil:.;Es un problema de salud publica importante debido a su alta prevalencia y a las complicaciones asociadas.;Se define por un indice de masa corporal (IMC) igual o superior al percentil 95 para la edad y el sexo.;Los factores geneticos son la causa principal de la obesidad infantil.;La prevencion y el tratamiento de la obesidad infantil requieren un abordaje multidisciplinar.;C;Enfermedades Infecciosas;examen 2;otros;original;2025-09-18;0;0;0
16;Senale la respuesta INCORRECTA en relacion con las infecciones nosocomiales:.;Son infecciones adquiridas durante la estancia en un centro sanitario.;La higiene de manos es una medida fundamental para su prevencion.;El uso de antibioticos de amplio espectro de forma sistematica en todos los pacientes es una estrategia eficaz para prevenirlas.;Pueden aumentar la morbilidad, la mortalidad y los costes sanitarios.;C;Enfermedades Infecciosas;examen 2;otros;original;2025-09-18;0;0;0
17;Cual de los siguientes NO es un componente de un programa de control de infecciones en un hospital?:?;Vigilancia epidemiologica de las infecciones.;Formacion del personal sanitario en prevencion de infecciones.;Uso indiscriminado de antibioticos profilacticos.;Aislamiento de pacientes con infecciones transmisibles.;C;Enfermedades Infecciosas;examen 2;otros;original;2025-09-18;0;0;0
18;Que medidas no necesitaria adoptar en la atencion a un paciente pediatrico que se encuentra bajo precauciones de aislamiento por tener una infeccion respiratoria por virus respiratorio sincitial?;Guantes;Bata desechable;Protector respiratorio FPP2;Habitacion individual o aislamiento de cohortes;C;Enfermedades Infecciosas;navarra2024;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
19;Cuando se retirarian las medidas de aislamiento en un paciente con diagnostico de gripe?;Cuando no tenga clinica de infeccion;Cuando la PCR sea negativa;Despues de 5-7 dias del inicio de los sintomas;Al alta hospitalaria;C;Enfermedades Infecciosas;navarra2024;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
20;Paciente institucionalizado, con neumonias bacterianas de repeticion, que acude a urgencias por diarrea incoercible de varios dias de evolucion, fiebre y sintomatologia de infeccion respiratoria. Tiene antecedente de gastroenteritis por Clostridioides difficile de hace 2 meses. Adoptarias alguna precaucion especifica de aislamiento durante la atencion sanitaria?;Seria suficiente con precauciones estandar;Seria suficiente con higiene de manos y uso correcto de guantes;Aplicaria precauciones empiricas de contacto;Aplicaria precauciones aereas;C;Enfermedades Infecciosas;navarra2024;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
21;Cual de las siguientes medidas se considera prevencion primaria en relacion con la obesidad infantil?;Promocion de la actividad fisica regular en ninos;Deteccion precoz de ninos con sobrepeso u obesidad;Tratamiento multidisciplinar de ninos con obesidad;Cirugia bariatrica en adolescentes con obesidad morbida;A;Enfermedades Infecciosas;banco_preguntas.csv;otros;original;2025-09-18;0;0;0
22;Cual de los siguientes NO es un ejemplo de intervencion de prevencion primaria para la obesidad infantil?;Promocion de la lactancia materna exclusiva durante los primeros seis meses;Fomento del consumo de frutas y verduras;Limitacion del tiempo de pantalla;Cirugia bariatrica;D;Enfermedades Infecciosas;navarra 2021?;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
23;Cual de los siguientes conceptos se refiere a la capacidad de un sistema de salud para satisfacer las necesidades de salud de la poblacion?;Equidad.;Accesibilidad.;Calidad.;Eficiencia.;B;Enfermedades Infecciosas;navarra2021;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
24;Cual de los siguientes conceptos se refiere a la adecuacion de los servicios de salud a las necesidades de la poblacion?;Accesibilidad.;Apropiabilidad.;Eficiencia.;Efectividad.;B;Enfermedades Infecciosas;navarra2021;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
25;Cual es el agente causal de la enfermedad invasora por haemophilus influenzae descripcion de la enfermedad?;Haemophilus influenzae es un cocobacilo Gram negativo que puede ser capsulado (tipable) y se puede clasificar en 6 serotipos antigenicamente diferentes (tipos a-f) o no capsulado (no tipable).;Virus de la familia Paramyxoviridae, genero Respirovirus;Bacteria gram negativa del genero Enterobacteriaceae;Protozoo con caracteristicas patogenicas especificas;A;Enfermedades Infecciosas;PROTOCOLOS_RENAVE-ciber.pdf;renave_declaracion;original;2025-09-18;0;0;0
26;Cual es el principal modo de transmision de la enfermedad invasora por haemophilus influenzae descripcion de la enfermedad?;Transmision desconocida;Es a traves de gotitas y secreciones nasofaringeas.;No transmisible;Solo en animales;B;Enfermedades Infecciosas;PROTOCOLOS_RENAVE-ciber.pdf;renave_declaracion;original;2025-09-18;0;0;0
27;Cual es el periodo de incubacion de la enfermedad invasora por haemophilus influenzae descripcion de la enfermedad?;1-3 dias;7-14 dias;Desconocido, probablemente sea de dos a cuatro dias.;Mas de 30 dias;C;Enfermedades Infecciosas;PROTOCOLOS_RENAVE-ciber.pdf;renave_declaracion;original;2025-09-18;0;0;0
28;Cual es el agente causal de la enfermedad por virus chikungunya (chikv) descripcion de la enfermedad?;El virus del Chikungunya (CHIKV) pertenece al genero Alphavirus , de la familia Togaviridae .;Bacteria grampositiva;Protozoo flagelado, con variaciones segun factores de riesgo;Hongo filamentoso;A;Enfermedades Infecciosas;PROTOCOLOS_RENAVE-ciber.pdf;renave_declaracion;original;2025-09-18;0;0;0
29;Cual es el principal modo de transmision de la enfermedad por virus chikungunya (chikv) descripcion de la enfermedad?;Transmision fecal-oral;Transmision vectorial;Transmision sexual;Transmision nosocomial;B;Enfermedades Infecciosas;PROTOCOLOS_RENAVE-ciber.pdf;renave_declaracion;original;2025-09-18;0;0;0
30;Cual es el periodo de incubacion de la enfermedad por virus chikungunya (chikv) descripcion de la enfermedad?;1-3 dias;7-14 dias;El periodo de incubacion dura entre 4 y 7 dias (puede variar entre 1-12 dias).;Mas de 30 dias;C;Enfermedades Infecciosas;PROTOCOLOS_RENAVE-ciber.pdf;renave_declaracion;original;2025-09-18;0;0;0
31;El estado de necesidad terapeutica permite:.;Mentir al paciente, con variaciones segun factores de riesgo;No informar en absoluto;Limitar la informacion cuando por razones objetivas el conocimiento pueda perjudicar gravemente su salud;Informar solo a la familia;C;Enfermedades Infecciosas;D_Legislaci-n_LBR de la autonom-a del paciente.pdf;otros;original;2025-09-18;0;0;0
32;Entre las enfermedades bacterianas de declaracion obligatoria se encuentra:.;Acne;Carbunco (antrax);Celulitis;Dermatitis;B;Enfermedades Infecciosas;Listado de enfermedades de declaracion obligatoria.pdf;renave_declaracion;original;2025-09-18;0;0;0
33;De las hepatitis virales, cuales son de declaracion obligatoria?;Solo Hepatitis A;Solo Hepatitis B;Solo Hepatitis C;Hepatitis A, B, C y otras hepatitis viricas;D;Enfermedades Infecciosas;Listado de enfermedades de declaracion obligatoria.pdf;renave_declaracion;original;2025-09-18;0;0;0
34;La infeccion por VIH/SIDA:.;No es de declaracion obligatoria;Es de declaracion obligatoria;Solo se declara el SIDA;Solo se declara el VIH;B;Enfermedades Infecciosas;Listado de enfermedades de declaracion obligatoria.pdf;renave_declaracion;original;2025-09-18;0;0;0
35;Las infecciones nosocomiales por SARM (S. aureus meticilin resistente) son:.;De declaracion voluntaria;No se declaran;De declaracion obligatoria;Solo se declaran si son graves;C;Enfermedades Infecciosas;Listado de enfermedades de declaracion obligatoria.pdf;renave_declaracion;original;2025-09-18;0;0;0
36;El virus Chikungunya:.;No es de declaracion obligatoria;Es una enfermedad de declaracion obligatoria;Solo se declara en Africa;No afecta a humanos;B;Enfermedades Infecciosas;Listado de enfermedades de declaracion obligatoria.pdf;renave_declaracion;original;2025-09-18;0;0;0
37;Cuales de estas infecciones de transmision sexual son de declaracion obligatoria?;Solo gonorrea;Solo sifilis;Gonorrea, infeccion por Chlamydia y linfogranuloma venereo;Ninguna ITS es de declaracion obligatoria;C;Enfermedades Infecciosas;Listado de enfermedades de declaracion obligatoria.pdf;renave_declaracion;original;2025-09-18;0;0;0
38;Es Hepatitis A una enfermedad de declaracion obligatoria?;Si, con declaracion urgente;Si, con declaracion semanal;No es de declaracion obligatoria;Solo en casos de brote epidemico;A;Enfermedades Infecciosas;Listado de enfermedades de declaracion obligatoria.docx.pdf;renave_declaracion;original;2025-09-18;0;0;0
39;Es Meningitis i una enfermedad de declaracion obligatoria?;Si, con declaracion urgente;Si, con declaracion semanal;No es de declaracion obligatoria;Solo en casos de brote epidemico;A;Enfermedades Infecciosas;Listado de enfermedades de declaracion obligatoria.docx.pdf;renave_declaracion;original;2025-09-18;0;0;0
40;Es Hepatitis C una enfermedad de declaracion obligatoria?;Si, con declaracion urgente;Si, con declaracion semanal;No es de declaracion obligatoria;Solo en casos de brote epidemico;A;Enfermedades Infecciosas;Listado de enfermedades de declaracion obligatoria.docx.pdf;renave_declaracion;original;2025-09-18;0;0;0
42;Cual es OBJETIVO EN OBESIDAD?;"4040 PARA HOMBRES Y MUJERES:""";"2025 PARA HOMBRES Y MUJERES:""";"1010 PARA HOMBRES Y MUJERES:""";"2020 PARA HOMBRES Y MUJERES:""";D;Enfermedades Infecciosas;Generada: Documento sin titulo_extracted;otros;original;2025-09-18;0;0;0
43;Que es El elevado numero de protocolos de enfermedades a declarar (60) supone un gran nivel de exigencia y suma nuevos retos a los que ya se planteaba la RENAVE como la necesidad de mejorar la especificidad de los casos declarados sin perder otro de los atributos fundamentales como?;Un procedimiento de control sanitario;la sensibilidad.;Un proceso administrativo complejo;Un indicador epidemiologico;B;Enfermedades Infecciosas;Generada: PROTOCOLOS_RENAVE-ciber;renave_declaracion;original;2025-09-18;0;0;0
44;El tratamiento antirretroviral en un paciente VIH+ con carga viral de 575.000/mm3 y una cifra de linfocitos de CD4 de 450/mm3:.;Es obligatorio;Solo estaria indicado si la carga viral fuera superior a 1 millon de copias/ml.;En ningun caso se prescribiria si los CD4+ son >200/ml;Esta indicado si el paciente lo desea;D;Enfermedades Infecciosas;MIR: Preguntas MIR Medicina preventiva_.docx;mir_medicina_preventiva;original;2025-09-18;0;0;0
45;EN LA INTELIGENCIA EPIDEMIOLOGICA SE DIFERENCIAN DOS COMPONENTES: LA VIGILANCIA BASADA EN INDICADORES Y LA BASADA EN EVENTOS. DENTRO DE LA BASADA EN INDICADORES SE ENCUENTRA:.;RENAVE;SIARD;SCIRI;ProMED-mail;A;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
46;LA TASA DE ATAQUE DE UN BROTE EPIDEMICO ES:.;Un riesgo atribuible;Una incidencia acumulada;Una prevalencia puntual;Una concordancia;B;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
47;LOS PLANES DE VIGILANCIA PREVENCION Y CONTROL DE LA INFECCION NOSOCOMIAL (PVPCIN) DE LOS HOSPITALES NACIERON EN EL ANO:.;2003;1991;1999;2007;C;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
48;EN QUE ANO SE COMIENZA A UTILIZAR EL ENVIN (ESTUDIO NACIONAL DE VIGILANCIA DE INFECCION NOSOCOMIAL) EN LAS UCIS ESPANOLAS:.;1994;1998;2000;2005;A;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
49;EN LA FASE INICIAL DE IMPLEMENTACION DEL SISTEMA NACIONAL DE VIGILANCIA DE LAS IRAS SE INCLUIRAN LAS INFECCIONES CON CARACTER OBLIGATORIO DE:.;"""Enterobacterias productoras de carbapenemasas (EPC) Staphylococcus aureus resistente a la meticilina (SARM) y Clostridium difficile""";"""Enterobacterias productoras de carbapenemasas (EPC) Staphylococcus aureus resistente a la meticilina (SARM) y Enterobacterias productoras de BLEEs""";"""Enterobacterias productoras de carbapenemasas (EPC) Staphylococcus aureus resistente a la meticilina (SARM) y Acinetobacter baumannii multirresistente""";"""Enterobacterias productoras de carbapenemasas (EPC) Staphylococcus aureus resistente a la meticilina (SARM) y Pseudomonas aeruginosa multirresistente""";A;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
50;EL PROGRAMA DE DETECCION PRECOZ DEL CANCER DE COLON Y RECTO ALCANZA UNA TASA DE DETECCION DEL:.;88.00%;90.00%;93.00%;100.00%;C;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
51;EN ESPANA EL ESTUDIO ENEAS ESTIMO QUE LA INCIDENCIA DE PACIENTES CON EVENTOS ADVERSOS RELACIONADOS DIRECTAMENTE CON LA ASISTENCIA HOSPITALARIA ERA DE 8.4%. QUE PORCENTAJE TOTAL DE ELLOS SE CONSIDERABAN EVITABLES?;25.00%;30.80%;36.12%;42.80%;D;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
52;EL PORCENTAJE DE PERSONAS QUE DURANTE LAS PASADAS FIESTAS NAVIDENAS HAN CONSUMIDO ALGUNA VEZ COCAINA EN UNA POBLACION DETERMINADA QUE TIPO DE MEDIDA EPIDEMIOLOGICA ES?;Prevalencia de punto;Prevalencia de periodo;Incidencia acumulada;Tasa de incidencia;B;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
53;LA RAZON DE INCIDENCIAS O DE RIESGO SE DENOMINA TAMBIEN:.;Riesgo atribuible;Riesgo relativo;ODDS ratio;Razon de probabilidad;B;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
54;SEGUN LOS CRTERIOS DE CAUSALIDAD EN EPIDEMIOLOGIA DE HILL LA CAUSA PRECEDE AL EFECTO. A QUE CRITERIO SE ESTA REFIRIENDO?;Especificidad;Plausibilidad;Temporalidad;Consistencia;C;Epidemiologia;examen 1;mir_medicina_preventiva;original;2025-09-18;0;0;0
55;SUPONGA QUE LA TASA ANUAL DE MORTALIDAD POR CANCER DE PULMON ES DE 160 POR 100000 EN EL GRUPO DE FUMADORES EMPEDERNIDOS EN COMPARACION CON 8 POR 100000 EN EL DE LOS NO FUMADORES. CUAL ES EL RIESGO RELATIVO DE MORIR EN LOS FUMADORES COMPARADO CON EL DE LOS NO FUMADORES?;152;20;19;8;B;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
56;SUPONGA QUE LA TASA ANUAL DE MORTALIDAD POR CANCER DE PULMON ES DE 160 POR 100000 EN EL GRUPO DE FUMADORES EMPEDERNIDOS EN COMPARACION CON 8 POR 100000 EN EL DE LOS NO FUMADORES CUAL ES EL RIESGO DE MORIR QUE PUEDE ATRIBUIRSE AL TABAQUISMO?;152;20;19;8;A;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
57;LA REDUCCION DE LA INCIDENCIA DE LA ENFERMEDAD MENTAL ES LA META PRINCIPAL DE LOS PROGRAMAS CLASIFICADOS COMO:.;De prevencion primaria;De prevencion secundaria;De prevencion terciaria;De rehabilitacion;A;Epidemiologia;examen 1;otros;original;2025-09-18;0;0;0
58;Cual de los siguientes NO es un objetivo de la vigilancia epidemiologica?:?;La deteccion precoz de brotes epidemicos.;La evaluacion de la efectividad de las medidas de control.;La planificacion y evaluacion de programas de salud publica.;El tratamiento individualizado de los pacientes.;D;Epidemiologia;examen 2;renave_declaracion;original;2025-09-18;0;0;0
59;En relacion con la causalidad en epidemiologia, senale el criterio de Bradford Hill que se refiere a la fuerza de la asociacion entre la exposicion y la enfermedad:.;Consistencia.;Especificidad.;Gradiente biologico.;Fuerza de la asociacion.;D;Epidemiologia;examen 2;mir_medicina_preventiva;original;2025-09-18;0;0;0
60;Cual de los siguientes tipos de estudio epidemiologico es el mas adecuado para evaluar la eficacia de una nueva vacuna?:?;Estudio de casos y controles.;Estudio de cohortes.;Ensayo clinico aleatorizado.;Estudio transversal.;C;Epidemiologia;examen 2;otros;original;2025-09-18;0;0;0
61;Senale la respuesta CORRECTA en relacion con la vigilancia de la salud de los trabajadores:.;Es obligatoria para todos los trabajadores, independientemente de los riesgos a los que esten expuestos.;Tiene como objetivo detectar precozmente las enfermedades relacionadas con el trabajo.;Los resultados de los reconocimientos medicos deben comunicarse a la empresa de forma individualizada.;No es necesario el consentimiento informado del trabajador para realizar los reconocimientos medicos.;B;Epidemiologia;examen 2;otros;original;2025-09-18;0;0;0
62;Senale la respuesta CORRECTA en relacion con la vigilancia epidemiologica:.;Es la recogida sistematica, analisis e interpretacion de datos de salud esenciales para la planificacion, implementacion y evaluacion de las practicas de salud publica.;Se limita a la vigilancia de enfermedades infecciosas.;Los datos recogidos no se utilizan para la toma de decisiones en salud publica.;Es una actividad puntual que se realiza unicamente en situaciones de brote epidemico.;A;Epidemiologia;examen 2;renave_declaracion;original;2025-09-18;0;0;0
63;Cual de los siguientes NO es un tipo de vigilancia epidemiologica?:?;Vigilancia pasiva.;Vigilancia activa.;Vigilancia centinela.;Vigilancia experimental.;D;Epidemiologia;examen 2;renave_declaracion;original;2025-09-18;0;0;0
64;Senale la respuesta INCORRECTA en relacion con los estudios descriptivos en epidemiologia:.;Describen la frecuencia y las caracteristicas de un problema de salud en una poblacion.;Permiten generar hipotesis sobre las posibles causas de la enfermedad.;Incluyen estudios de casos, series de casos y estudios ecologicos.;Siempre permiten establecer relaciones causales entre la exposicion y la enfermedad.;D;Epidemiologia;examen 2;mir_medicina_preventiva;original;2025-09-18;0;0;0
65;Cual de los siguientes NO es una medida de frecuencia utilizada en epidemiologia descriptiva?:?;Tasa de incidencia.;Tasa de prevalencia.;Razon de momios (odds ratio).;Tasa de mortalidad.;C;Epidemiologia;examen 2;mir_medicina_preventiva;original;2025-09-18;0;0;0
66;Senale la respuesta INCORRECTA en relacion con la validez interna de un estudio epidemiologico:.;Se refiere al grado en que los resultados del estudio reflejan la verdadera asociacion entre la exposicion y la enfermedad en la poblacion estudiada.;Se ve amenazada por la presencia de sesgos y factores de confusion.;Un estudio con alta validez interna garantiza que los resultados son generalizables a otras poblaciones.;Es un requisito fundamental para poder establecer inferencias causales.;C;Epidemiologia;examen 2;otros;original;2025-09-18;0;0;0
67;Cual de los siguientes NO es un tipo de sesgo en epidemiologia?:?;Sesgo de seleccion.;Sesgo de informacion.;Sesgo de confusion.;Sesgo de aleatorizacion.;D;Epidemiologia;examen 2;mir_medicina_preventiva;original;2025-09-18;0;0;0
68;Cual de los siguientes NO es un metodo para controlar el factor de confusion en el diseno de un estudio epidemiologico?:?;Aleatorizacion.;Restriccion.;Emparejamiento.;Estratificacion.;D;Epidemiologia;examen 2;mir_medicina_preventiva;original;2025-09-18;0;0;0
69;Senale la respuesta INCORRECTA en relacion con la validez externa de un estudio epidemiologico:.;Se refiere al grado en que los resultados del estudio pueden generalizarse a otras poblaciones o contextos.;Depende de la representatividad de la muestra estudiada y de la plausibilidad biologica de la asociacion observada.;Un estudio con alta validez interna siempre tendra alta validez externa.;Es importante para aplicar los resultados de la investigacion a la practica de la salud publica.;C;Epidemiologia;examen 2;otros;original;2025-09-18;0;0;0
70;Senale la respuesta CORRECTA en relacion con la inferencia causal en epidemiologia:.;Se basa unicamente en la significacion estadistica de la asociacion observada.;Requiere la aplicacion de los criterios de causalidad de Bradford Hill.;Un unico estudio epidemiologico es suficiente para establecer una relacion causal.;La asociacion temporal entre la exposicion y la enfermedad no es un criterio necesario para establecer causalidad.;B;Epidemiologia;examen 2;mir_medicina_preventiva;original;2025-09-18;0;0;0
71;Senale la respuesta INCORRECTA en relacion con la vigilancia epidemiologica:.;Permite monitorizar las tendencias de las enfermedades a lo largo del tiempo.;Ayuda a detectar brotes epidemicos y otras emergencias de salud publica.;Proporciona informacion para la planificacion y evaluacion de intervenciones de salud publica.;Se limita a la recogida de datos rutinarios y no incluye la investigacion de casos individuales.;D;Epidemiologia;examen 2;renave_declaracion;original;2025-09-18;0;0;0
72;Cual de los siguientes NO es un ejemplo de fuente de datos para la vigilancia epidemiologica?:?;Registros de mortalidad.;Notificacion de enfermedades.;Encuestas de salud.;Resultados de analisis clinicos de pacientes individuales.;D;Epidemiologia;examen 2;renave_declaracion;original;2025-09-18;0;0;0
73;Senale la respuesta CORRECTA en relacion con los estudios descriptivos en epidemiologia:.;Su objetivo principal es describir la distribucion de las enfermedades en la poblacion en relacion con variables como el tiempo, el lugar y las personas.;Permiten establecer relaciones causales firmes entre exposiciones y enfermedades.;Siempre requieren la comparacion con un grupo control.;Son el tipo de estudio mas adecuado para evaluar la eficacia de intervenciones.;A;Epidemiologia;examen 2;mir_medicina_preventiva;original;2025-09-18;0;0;0
74;Senale la respuesta CORRECTA en relacion con la validez interna de un estudio epidemiologico:.;Es la medida en que los resultados del estudio son creibles y libres de sesgo dentro de la poblacion estudiada.;Depende unicamente del tamano de la muestra.;No se ve afectada por la forma en que se seleccionaron los participantes o se midieron las exposiciones y los resultados.;Una alta validez interna garantiza una alta validez externa.;A;Epidemiologia;examen 2;otros;original;2025-09-18;0;0;0
75;Cual de los siguientes NO es un metodo para controlar el factor de confusion en la fase de analisis de un estudio epidemiologico?:?;Estratificacion.;Ajuste multivariado.;Emparejamiento.;Estandarizacion.;C;Epidemiologia;examen 2;mir_medicina_preventiva;original;2025-09-18;0;0;0
76;Senale la respuesta CORRECTA en relacion con la validez externa de un estudio epidemiologico:.;Es la medida en que los resultados de un estudio pueden generalizarse a otras poblaciones, entornos o momentos diferentes.;Depende unicamente de la forma en que se selecciono la muestra.;Un estudio con alta validez externa siempre tendra alta validez interna.;Es irrelevante para la aplicacion de los resultados de la investigacion en la practica.;A;Epidemiologia;examen 2;otros;original;2025-09-18;0;0;0
77;Cual de los siguientes NO es un ejemplo de indicador de salud relacionado con la mortalidad?:?;Tasa de mortalidad general.;Tasa de mortalidad infantil.;Esperanza de vida ajustada por calidad.;Tasa de mortalidad especifica por causa.;C;Epidemiologia;examen 2;otros;original;2025-09-18;0;0;0
78;La vigilancia en salud publica no incluye:.;Vigilancia de enfermedades transmisibles;Vigilancia de enfermedades no transmisibles;Vigilancia del absentismo escolar;Vigilancia de la salud laboral;C;Epidemiologia;navarra2024;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
79;Medida epidemiologica para priorizar factores de riesgo:.;Riesgo relativo;Riesgo atribuible;Odds ratio;Incidencia;B;Epidemiologia;navarra2024;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
80;Diseno en estudios epidemiologicos:.;No es relevante en el protocolo;Determina metodologia;Relevante en antecedentes;Ninguna;B;Epidemiologia;navarra2024;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
81;Incorrecto sobre mortalidad en Navarra (2015-2019):.;COVID-19 aumento mortalidad infecciosa;Tasa de cancer mas baja en hombres;Cancer de pulmon lidera muertes en hombres;Accidentes de trafico disminuyen en hombres;B;Epidemiologia;navarra2024;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
82;Cual de las siguientes medidas no se debe aplicar de forma generalizada cuando se ha detectado un brote epidemico en el hospital?;Aislamiento de los pacientes infectados o colonizados;Deteccion precoz de los casos nuevos;Administrar antibiotico preventivo para evitar la colonizacion por el agente infeccioso;Intensificar la higiene de manos y uso correcto de guantes;C;Epidemiologia;navarra2024;examenes_navarra_pais_vasco;original;2025-09-18;0;0;0
83;Cual no es un indicador del modulo de vigilancia de prevalencia de la infeccion nosocomial de la RENAVE?;Prevalencia total de pacientes con infeccion nosocomial;Prevalencia de pacientes con infeccion nosocomial existente al ingreso;Prevalencia de pacientes institucionalizados con infeccion nosocomial;Prevalencia de pacientes con bacteriemia nosocomial;C;Epidemiologia;navarra2024;renave_declaracion;original;2025-09-18;0;0;0
